fips,3rd Party Effect direction
26043,-0.22
26045,-0.09
26047,-0.12
26049,0.07
26051,-0.14
26053,-0.03
26055,-0.08
26057,-0.13
26059,-0.28
26061,-0.11
26063,-0.22
26065,0.08
26067,-0.19
26069,-0.07
26071,-0.12
26073,0.03
26075,-0.15
26077,-0.03
26079,-0.12
26081,-0.18
26083,-0.06
26085,-0.08
26087,-0.14
26089,-0.07
26091,-0.2
26093,-0.21
26095,-0.13
26097,-0.13
26099,-0.05
26101,-0.06
26103,0.05
26105,-0.16
26107,-0.18
26109,-0.14
26111,-0.24
26113,-0.28
26115,-0.15
26117,-0.19
26119,-0.19
26121,-0.06
26123,-0.3
26125,-0.08
26127,-0.27
26129,-0.1
26131,-0.08
26133,-0.22
26135,-0.2
26137,-0.16
26139,-0.39
26141,-0.17
26143,-0.11
26145,-0.08
26147,-0.2
26149,-0.25
26151,-0.22
26153,-0.11
26155,-0.06
26157,-0.16
26159,-0.13
26161,0.12
26163,0.08
26165,-0.14
28001,-0.17
28003,-0.36
28005,-0.26
28007,-0.24
28009,-0.22
28011,-0.11
28013,-0.28
28015,-0.27
28017,-0.18
28019,-0.32
28021,0.03
28023,-0.3
28025,-0.16
28027,-0.01
28029,-0.16
28031,-0.25
28033,-0.4
28035,-0.27
28037,-0.28
28039,-0.43
28041,-0.38
28043,-0.22
28045,-0.28
28047,-0.28
28049,-0.08
28051,-0.01
28053,-0.03
28055,-0.08
28057,-0.44
28059,-0.32
28061,-0.17
28063,0.03
28067,-0.33
28069,-0.16
28071,-0.28
28073,-0.41
28075,-0.34
28077,-0.21
28079,-0.22
28081,-0.41
28083,-0.15
28085,-0.34
28087,-0.28
28089,-0.33
28091,-0.31
28093,-0.21
28095,-0.29
28097,-0.23
28099,-0.33
28101,-0.36
28103,-0.11
28105,-0.31
28107,-0.17
28109,-0.39
28111,-0.31
28113,-0.22
28115,-0.43
28117,-0.35
28119,-0.03
28121,-0.39
28123,-0.22
28125,-0.1
28127,-0.27
28129,-0.3
28131,-0.41
28133,-0.06
28135,-0.09
28137,-0.37
28139,-0.38
28141,-0.35
28143,0.08
28145,-0.43
28147,-0.21
28149,-0.23
28151,-0.11
28153,-0.26
28155,-0.37
28157,-0.11
28159,-0.27
28161,-0.18
28163,-0.19
29001,-0.15
29003,-0.26
29005,-0.3
29007,-0.29
29009,-0.36
29011,-0.5
29013,-0.2
29015,-0.22
29017,-0.37
29019,-0.04
29021,-0.11
29023,-0.3
29025,-0.28
29027,-0.24
29029,-0.23
29031,-0.35
29033,-0.27
29035,-0.26
29037,-0.25
29039,-0.36
29041,-0.25
29043,-0.39
29045,-0.27
29047,-0.13
29049,-0.2
29051,-0.27
29053,-0.31
29055,-0.21
29057,-0.41
29059,-0.31
29061,-0.22
29063,-0.27
29065,-0.27
29067,-0.27
29069,-0.21
29071,-0.21
29073,-0.28
29075,-0.3
29077,-0.21
29079,-0.28
29081,-0.35
29083,-0.25
29085,-0.25
29087,-0.33
29089,-0.24
29091,-0.27
29093,-0.15
29095,0
29097,-0.37
29099,-0.08
29101,-0.21
29103,-0.28
29105,-0.34
29107,-0.24
29109,-0.39
29111,-0.26
29113,-0.21
29115,-0.24
29117,-0.27
29119,-0.36
29121,-0.28
29123,-0.26
29125,-0.25
29127,-0.33
29129,-0.25
29131,-0.34
29133,-0.25
29135,-0.37
29137,-0.32
29139,-0.28
29141,-0.26
29143,-0.2
29145,-0.42
29147,-0.25
29149,-0.24
29151,-0.35
29153,-0.28
29155,-0.2
29157,-0.36
29159,-0.23
29161,-0.22
29163,-0.24
29165,-0.16
29167,-0.41
29169,-0.21
29171,-0.28
29173,-0.27
29175,-0.26
29177,-0.17
29179,-0.14
29181,-0.32
29183,-0.18
29185,-0.24
29186,-0.12
29187,-0.16
29195,-0.18
29197,-0.17
29199,-0.25
29201,-0.29
29203,-0.18
29205,-0.31
29207,-0.32
29209,-0.33
29211,-0.27
29213,-0.31
29215,-0.27
29217,-0.25
29219,-0.23
29221,-0.19
29223,-0.26
29225,-0.37
29227,-0.27
29229,-0.36
29510,0.26
30001,-0.04
30003,0.19
30005,0.26
30007,0.04
30009,0.13
30011,-0.13
30013,0.11
30015,0
30017,0.07
30019,-0.04
30021,-0.03
30023,0.26
30025,-0.12
30027,-0.03
30029,0.1
30031,0.22
30033,-0.08
30035,0.41
30037,-0.03
30039,0.12
30041,0.19
30043,0.12
30045,-0.05
30047,0.16
30049,0.21
30051,-0.01
30053,0.1
30055,0.01
30057,0
30059,-0.03
30061,0.08
30063,0.38
30065,-0.04
30067,0.23
30069,-0.01
30071,-0.05
30073,0.04
30075,-0.08
30077,0.07
30079,-0.01
30081,0.03
30083,-0.05
30085,0.2
30087,0.14
30089,0.07
30091,0.08
30093,0.28
30095,-0.01
30097,-0.03
30099,0.15
30101,-0.04
30103,0.09
30105,0.04
30107,-0.02
30109,-0.09
30111,0.07
31001,-0.21
31003,-0.25
31005,-0.33
31007,-0.29
31009,-0.16
31011,-0.29
31013,-0.2
31015,-0.22
31017,-0.15
31019,-0.18
31021,-0.18
31023,-0.28
31025,-0.26
31027,-0.37
31029,-0.2
31031,-0.27
31033,-0.21
31035,-0.22
31037,-0.24
31039,-0.26
31041,-0.27
31043,-0.14
31045,-0.18
31047,-0.23
31049,-0.18
31051,-0.32
31053,-0.2
31055,-0.1
31057,-0.27
31059,-0.24
31061,-0.19
31063,-0.21
31065,-0.22
31067,-0.32
31069,-0.15
31071,-0.26
31073,-0.18
31075,-0.24
31077,-0.34
31079,-0.2
31081,-0.36
31083,-0.31
31085,-0.25
31087,-0.2
31089,-0.22
31091,-0.19
31093,-0.22
31095,-0.21
31097,-0.21
31099,-0.21
31101,-0.21
31103,-0.16
31105,-0.18
31107,-0.29
31109,-0.14
31111,-0.21
31113,-0.29
31115,-0.2
31117,-0.29
31119,-0.24
31121,-0.33
31123,-0.21
31125,-0.2
31127,-0.27
31129,-0.18
31131,-0.27
31133,-0.24
31135,-0.33
31137,-0.29
31139,-0.25
31141,-0.25
31143,-0.3
31145,-0.19
31147,-0.24
31149,-0.23
31151,-0.18
31153,-0.17
31155,-0.22
31157,-0.25
31159,-0.31
31161,-0.17
31163,-0.2
31165,-0.31
31167,-0.33
31169,-0.27
31171,-0.2
31173,-0.17
31175,-0.21
31177,-0.23
31179,-0.28
31181,-0.2
31183,-0.27
31185,-0.28
32001,-0.53
32003,-0.34
32005,-0.6
32007,-0.7
32009,-0.13
32011,-0.44
32013,-0.47
32015,-0.42
32017,-0.51
32019,-0.46
32021,-0.23
32023,-0.36
32027,-0.39
32029,-0.42
32031,-0.44
32033,-0.41
32510,-0.5
33001,-0.15
33003,-0.11
33005,0.12
33007,0.01
33009,0.08
33011,-0.1
33013,-0.05
33015,-0.1
33017,0.04
33019,0.05
34001,0.12
34003,0.2
34005,0.17
34007,0.25
34009,0.06
34011,0.17
34013,0.21
34015,0.24
34017,0.28
34019,0.04
34021,0.21
34023,0.26
34025,0.17
34027,0.05
34029,0.12
34031,0.17
34033,0.15
34035,0.12
34037,0.08
34039,0.19
34041,0.07
35001,0.3
35003,0.12
35005,0.03
35006,0.33
35007,0.23
35009,0.06
35015,0.1
35017,0.32
35019,0.36
35021,0.04
35023,0.23
35025,0.02
35027,0.03
35028,0.21
35029,0.17
35031,0.32
35033,0.31
35035,0.05
35037,0.17
35039,0.35
35041,0.11
35043,0.24
35045,0.09
35047,0.35
35049,0.4
35051,0.18
35053,0.24
35055,0.5
35057,0.12
35059,0.16
35061,0.22
36001,0.26
36003,-0.16
36005,0.27
36007,0.02
36009,-0.02
36011,-0.04
36013,0.01
36015,-0.11
36017,-0.11
36019,0.23
36021,0.14
36023,-0.02
36025,-0.03
36027,0.11
36029,0.19
36031,0.02
36033,0.22
36035,-0.12
36037,-0.08
36039,0
36041,-0.2
36043,-0.1
36045,-0.1
36049,-0.16
36051,-0.04
36053,-0.1
36055,0.08
36057,0.01
36059,0.05
36063,0.11
36065,-0.03
36067,0.01
36069,-0.04
36071,0.09
36073,-0.1
36075,-0.12
36077,0.03
36079,0.08
36081,0.3
36083,0.13
36087,0.14
36091,-0.08
36093,0.1
36095,-0.02
36097,0
36099,-0.03
36101,-0.14
36103,0.08
36105,0.18
36107,-0.11
36109,0.33
36111,0.3
36113,-0.09
36115,-0.08
36117,-0.1
36119,0.11
36121,-0.09
36123,-0.14
37001,-0.14
37003,-0.28
37005,-0.07
37007,0.08
37009,-0.17
37011,-0.37
37013,-0.16
37015,0.06
37017,0.07
37019,-0.17
37021,0.17
37023,-0.14
37025,-0.19
37027,-0.26
37029,-0.17
37031,-0.19
37033,-0.02
37035,-0.26
37037,-0.01
37039,-0.21
37041,-0.13
37043,-0.27
37045,-0.13
37047,0.07
37049,-0.17
37051,0
37053,-0.2
37055,-0.01
37057,-0.27
37059,-0.36
37061,-0.1
37063,0.18
37065,0.07
37067,-0.12
37069,-0.09
37071,-0.2
37073,0.01
37075,-0.2
37077,0
37079,0.01
37081,-0.05
37083,0.11
37085,-0.15
37087,-0.04
37089,-0.27
37091,0.13
37093,0.07
37095,0.16
37097,-0.24
37099,0.07
37101,-0.2
37103,0
37105,-0.08
37107,-0.05
37109,-0.26
37111,-0.2
37113,-0.21
37115,0.12
37117,0.01
37119,-0.06
37121,-0.32
37123,-0.07
37125,-0.29
37127,-0.1
37129,-0.05
37131,0.12
37133,-0.21
37135,0.23
37137,-0.07
37139,-0.05
37141,-0.13
37143,-0.14
37145,0
37147,-0.05
37149,-0.12
37151,-0.33
37153,0.07
37155,0.19
37157,-0.16
37159,-0.22
37161,-0.14
37163,-0.16
37165,0.04
37167,-0.22
37169,-0.27
37171,-0.21
37173,0.05
37175,-0.18
37177,0.04
37179,-0.29
37181,0.13
37183,-0.07
37185,0.12
37187,0.07
37189,0.07
37191,-0.13
37193,-0.29
37195,-0.08
37197,-0.36
37199,-0.04
39001,-0.3
39003,-0.38
39005,-0.42
39007,-0.14
39009,0.15
39011,-0.45
39013,-0.11
39015,-0.29
39017,-0.32
39019,-0.25
39021,-0.36
39023,-0.25
39025,-0.36
39027,-0.37
39029,-0.23
39031,-0.28
39033,-0.38
39035,-0.06
39037,-0.41
39039,-0.37
39041,-0.49
39043,-0.15
39045,-0.38
39047,-0.41
39049,-0.18
39051,-0.4
39053,-0.28
39055,-0.38
39057,-0.33
39059,-0.27
39061,-0.25
39063,-0.43
39065,-0.39
39067,-0.14
39069,-0.43
39071,-0.31
39073,-0.24
39075,-0.47
39077,-0.28
39079,-0.28
39081,-0.09
39083,-0.4
39085,-0.24
39087,-0.25
39089,-0.37
39091,-0.42
39093,-0.14
39095,-0.09
39097,-0.44
39099,-0.03
39101,-0.31
39103,-0.33
39105,-0.26
39107,-0.48
39109,-0.39
39111,0.05
39113,-0.2
39115,-0.33
39117,-0.43
39119,-0.32
39121,-0.25
39123,-0.21
39125,-0.41
39127,-0.26
39129,-0.38
39131,-0.16
39133,-0.12
39135,-0.33
39137,-0.55
39139,-0.33
39141,-0.25
39143,-0.29
39145,-0.15
39147,-0.31
39149,-0.42
39151,-0.24
39153,-0.31
39155,0.03
39157,-0.19
39159,-0.49
39161,-0.46
39163,-0.17
39165,-0.4
39167,-0.29
39169,-0.41
39171,-0.41
39173,-0.23
39175,-0.37
40001,-0.02
40003,-0.42
40005,0.15
40007,-0.59
40009,-0.19
40011,-0.24
40013,0
40015,0.03
40017,-0.36
40019,-0.09
40021,0.07
40023,0.19
40025,-0.5
40027,-0.15
40029,0.37
40031,-0.12
40033,-0.05
40035,0.05
40037,-0.27
40039,-0.26
40041,-0.14
40043,-0.25
40045,-0.38
40047,-0.37
40049,-0.03
40051,-0.22
40053,-0.32
40055,0.2
40057,0.08
40059,-0.36
40061,0.17
40063,0.18
40065,-0.27
40067,0.11
40069,0.12
40071,-0.27
40073,-0.41
40075,-0.02
40077,0.3
40081,-0.22
40083,-0.36
40085,0.16
