fips,WinMargin
29131,68.82%
19129,38.40%
48333,87.24%
55079,-27.73%
46097,-11.56%
08079,-100.00%
30061,32.69%
32021,44.70%
54057,34.38%
54059,-47.70%
16067,93.86%
46099,-14.15%
26113,49.09%
05093,18.35%
29133,44.11%
30063,-39.10%
13205,18.36%
19131,8.15%
37121,65.21%
48335,78.77%
01097,27.88%
06049,38.06%
08081,-100.00%
04015,47.90%
29135,58.69%
34025,-11.99%
06051,-22.31%
19133,26.26%
54061,-25.42%
01099,16.68%
05095,-50.63%
12087,11.53%
13207,55.90%
19135,28.96%
17133,39.57%
18105,-23.31%
21171,70.20%
26115,20.95%
29137,53.55%
28095,38.63%
36055,-15.79%
39111,-8.07%
42089,-1.89%
47123,63.33%
55081,12.86%
54063,11.35%
48337,88.57%
26117,29.49%
06053,-46.56%
08083,-100.00%
01101,-11.51%
05097,54.59%
13209,60.02%
19137,31.11%
17135,33.43%
18107,65.11%
21173,-39.59%
24031,-57.26%
29139,56.44%
28097,12.92%
37123,8.53%
36057,10.92%
39113,21.78%
42091,-10.02%
47125,33.01%
48339,75.05%
51121,6.27%
26119,42.68%
42093,24.74%
08085,-100.00%
46101,-18.88%
37125,39.45%
47127,65.51%
48341,81.97%
35033,-79.75%
01103,64.30%
08087,-100.00%
13211,55.62%
17137,46.28%
18109,63.90%
21175,-80.66%
29141,55.70%
39115,52.54%
47129,62.33%
49029,77.85%
54065,48.20%
31123,93.44%
34027,9.98%
48343,42.82%
39117,59.37%
41049,34.49%
48345,91.63%
17139,43.73%
21177,-56.18%
41051,-68.45%
13213,72.40%
40099,-19.64%
19139,14.57%
13215,-2.90%
26121,-1.29%
39119,47.08%
40101,-16.25%
30065,70.55%
48347,59.83%
31125,88.45%
25019,-36.88%
06055,-40.01%
37127,-8.12%
12089,55.88%
36059,-7.22%
56025,-100.00%
04017,3.06%
48349,70.19%
21179,-44.49%
51125,-2.43%
31127,81.50%
28099,57.28%
05099,-18.02%
06057,-21.61%
10003,-34.86%
37129,5.96%
09009,-88.66%
51127,48.96%
09011,-68.74%
29143,40.01%
26123,41.29%
45071,38.91%
44005,-42.91%
05101,73.89%
13217,15.37%
18111,48.38%
29145,62.35%
28101,52.13%
48351,21.36%
16069,75.12%
36063,-1.21%
21181,-68.78%
54067,-9.39%
56027,-100.00%
18113,56.67%
39121,45.03%
40103,33.16%
29147,38.71%
48353,75.91%
25021,-0.88%
37131,-62.27%
42095,-5.15%
51131,6.84%
42097,27.51%
51133,37.67%
51135,20.59%
40105,14.68%
28103,-44.64%
31129,88.56%
48355,10.86%
32023,83.03%
19141,60.63%
26125,1.72%
47131,60.01%
34029,17.19%
26127,35.82%
48357,92.89%
13219,59.16%
45073,65.37%
55083,28.25%
26129,25.67%
17141,41.79%
13221,49.84%
18115,46.82%
21183,-3.02%
54069,-6.77%
12091,64.00%
53047,89.72%
12093,30.81%
40107,-13.44%
40109,13.30%
40111,-9.93%
28105,20.72%
21185,9.98%
48359,94.76%
16071,97.15%
36065,17.68%
55085,16.10%
36067,-9.90%
37133,36.43%
36069,12.64%
26131,19.65%
06059,-9.65%
12095,-1.76%
18117,52.38%
37135,-55.47%
36071,-1.21%
48361,69.44%
51137,41.43%
50017,-7.22%
45075,-33.06%
29149,50.02%
36073,44.17%
29151,63.42%
40113,5.93%
12097,-5.76%
19143,53.52%
26133,42.55%
26135,41.17%
36075,34.29%
08089,-100.00%
35035,23.91%
31131,82.82%
26137,34.28%
36077,5.42%
26139,44.25%
39123,24.28%
40115,-4.89%
05103,1.02%
08091,-100.00%
55087,13.15%
47133,41.28%
18119,41.30%
21187,-40.65%
21189,21.86%
16073,92.69%
23017,-100.00%
29153,61.26%
55089,34.35%
53049,92.30%
19145,37.21%
51139,55.56%
12099,-6.95%
19147,3.97%
48363,81.68%
37137,8.92%
28107,7.05%
48365,76.52%
08093,-100.00%
30067,-2.16%
56029,-100.00%
18121,53.33%
48367,77.77%
48369,83.54%
12101,27.40%
37139,-12.57%
34031,-37.64%
51141,54.66%
13223,58.71%
39125,51.85%
31133,78.02%
40117,17.40%
16075,91.95%
40119,16.69%
13225,20.50%
28109,73.97%
48371,-3.70%
29155,39.34%
53051,96.10%
37141,22.35%
21191,-13.56%
54071,-13.61%
46103,23.41%
23019,-100.00%
17143,6.76%
55091,13.55%
31135,92.16%
46105,63.59%
37143,14.43%
01105,-78.07%
05105,13.19%
17145,26.60%
18123,-1.19%
21193,-49.69%
29157,60.77%
28111,46.32%
39127,38.81%
42099,49.84%
47135,50.00%
32027,63.38%
37145,-12.20%
30069,70.51%
29159,43.97%
29161,43.82%
31137,90.07%
42101,-77.80%
05107,-68.57%
08095,-100.00%
30071,76.09%
17147,42.57%
39129,47.89%
01107,-5.55%
13227,79.22%
45077,68.15%
47137,61.09%
13229,82.05%
31139,93.28%
53053,91.56%
55093,9.03%
01109,34.43%
05109,46.60%
13231,75.64%
17149,54.48%
18125,38.50%
21195,-64.39%
29163,39.43%
28113,12.72%
39131,22.09%
42103,27.99%
04019,-16.08%
04021,8.01%
12103,9.06%
08097,-100.00%
37147,-13.03%
40121,-25.05%
51143,45.40%
49031,100.00%
06061,1.94%
29165,19.34%
31141,89.13%
56031,-100.00%
54073,9.48%
06063,6.23%
19149,45.92%
25023,-8.01%
19151,23.37%
54075,-17.09%
05111,47.19%
05113,75.48%
12105,22.86%
13233,63.14%
19153,15.34%
29167,59.87%
37149,21.37%
31143,84.51%
41053,-3.12%
47139,25.47%
48373,72.54%
55095,22.51%
30073,38.67%
28115,68.37%
40123,-5.20%
05115,53.16%
17151,55.43%
39133,17.45%
55097,-7.65%
18127,5.81%
18129,34.96%
40125,15.45%
19155,17.12%
42105,56.67%
46107,73.99%
48375,61.18%
30075,82.50%
21197,-47.39%
30077,36.18%
16077,85.92%
19157,4.46%
51145,59.27%
05117,6.63%
30079,54.90%
39135,64.21%
28117,56.17%
48377,-85.30%
26141,26.88%
54077,29.08%
55099,15.42%
51147,6.59%
24033,-84.96%
51149,21.86%
51153,5.30%
44007,-81.55%
08099,-100.00%
08101,-100.00%
05119,0.22%
13235,50.03%
17153,29.01%
18131,55.77%
21199,48.16%
29169,47.89%
51155,48.85%
40127,-28.46%
12107,18.57%
13237,57.45%
17155,-7.37%
18133,53.46%
29171,65.71%
36079,7.43%
39137,71.08%
47141,48.80%
54079,15.48%
35037,-4.02%
24035,31.39%
36081,-75.12%
13239,17.46%
28119,-48.62%
13241,67.35%
55101,10.84%
48379,78.56%
54081,1.87%
29173,46.85%
48381,77.40%
01111,47.88%
05121,31.24%
13243,-5.62%
17157,16.87%
18135,52.63%
29175,48.61%
37151,55.78%
54083,-20.71%
28121,65.18%
51157,23.60%
30081,33.70%
29177,28.60%
48383,94.78%
48385,92.60%
48387,66.89%
31145,91.14%
48389,-86.54%
48391,7.34%
36083,-14.14%
29179,40.64%
47143,72.04%
49033,100.00%
31147,87.62%
17159,49.21%
30083,63.79%
39139,44.26%
45079,-13.55%
55103,0.55%
51760,-46.83%
13245,-14.27%
37153,-27.31%
51159,33.01%
19159,24.91%
35039,-85.36%
08103,-100.00%
08105,-100.00%
18137,61.80%
29181,62.77%
54085,57.23%
06065,-11.02%
47145,55.91%
54087,1.05%
51770,-4.30%
51161,45.35%
46109,-32.72%
48393,97.32%
21201,-66.87%
47147,56.08%
48395,36.98%
37155,-55.50%
17161,-16.68%
31149,95.27%
55105,-8.63%
51163,34.07%
21203,53.48%
13247,-5.34%
37157,18.42%
33015,15.00%
51165,56.40%
36087,-33.27%
48397,71.54%
40129,12.17%
40131,40.57%
30085,6.14%
35041,26.73%
26143,27.58%
30087,28.15%
39141,31.69%
08107,-100.00%
21205,-48.22%
37159,37.46%
48399,88.91%
18139,61.28%
48401,73.20%
55107,24.89%
01113,-18.84%
21207,53.77%
51167,54.13%
37161,27.41%
47149,43.44%
50021,-19.90%
48403,81.83%
19161,38.08%
06067,-36.43%
26145,0.33%
08109,-100.00%
34033,-12.95%
05125,55.63%
17165,30.53%
29195,28.18%
31151,61.85%
49035,1.83%
45081,47.70%
37163,12.03%
48405,63.91%
06069,-30.83%
06071,-19.29%
06073,-24.36%
06075,-86.19%
48407,71.54%
06077,-21.11%
08111,-100.00%
35045,12.21%
49037,63.87%
53055,85.19%
06079,-14.91%
06081,-61.66%
08113,-100.00%
35047,-83.93%
48409,32.32%
48411,88.40%
46111,19.86%
30089,40.51%
35043,-32.52%
39143,36.71%
17167,26.90%
26151,44.24%
49039,71.57%
06083,-33.37%
06085,-54.94%
04023,-45.31%
06087,-69.20%
35049,-77.38%
12113,63.16%
12115,25.82%
36091,17.76%
31153,67.43%
55111,-4.12%
31155,80.18%
55113,16.32%
36093,-18.46%
48413,71.77%
13249,63.30%
36095,20.67%
26153,23.74%
17169,39.05%
29197,49.16%
36097,14.50%
42107,27.74%
39145,27.22%
29199,53.19%
37165,-34.05%
05127,56.10%
19163,8.63%
17171,55.51%
18143,0.35%
21209,-24.88%
29201,55.61%
28123,18.80%
47151,66.03%
51169,68.87%
31157,83.16%
13251,29.55%
48415,83.52%
05129,71.70%
05131,50.87%
08115,-100.00%
12117,23.41%
13253,42.90%
40133,-9.64%
36099,12.32%
39147,40.59%
47153,62.98%
40135,-8.79%
05133,49.78%
47155,73.06%
49041,85.93%
31159,77.46%
48417,94.85%
29203,41.43%
28125,-27.17%
05135,52.14%
06089,18.61%
55115,28.22%
55117,23.44%
01117,66.72%
19165,30.13%
17173,46.52%
18145,52.36%
21211,-13.24%
29205,50.06%
39149,65.28%
47157,-9.63%
48419,82.68%
51171,53.09%
30091,28.34%
31161,94.92%
56033,-100.00%
31163,83.76%
41055,44.26%
48421,89.67%
26155,11.03%
16079,83.60%
06091,7.05%
35051,11.17%
30093,-41.11%
21213,-40.23%
28127,35.37%
19167,84.20%
31165,86.79%
06093,3.10%
53057,90.78%
53059,92.24%
28129,57.71%
47159,52.31%
48423,66.86%
51173,57.75%
53061,88.19%
42109,50.89%
35053,-33.89%
06095,-43.58%
24039,17.90%
34035,-17.62%
42111,37.07%
48425,89.66%
06097,-58.34%
51175,20.84%
13255,42.66%
45083,51.08%
18147,31.59%
21215,5.65%
46115,-3.97%
53063,93.77%
51177,34.25%
29183,29.34%
01115,76.28%
17163,-13.49%
26147,45.73%
29185,48.54%
55109,21.21%
29187,32.95%
12109,49.65%
18141,5.73%
26149,34.97%
29510,-64.50%
12111,8.83%
24037,17.64%
51179,31.16%
06099,-17.72%
46117,41.80%
37167,43.78%
31167,88.52%
17175,46.63%
39151,28.67%
18149,22.11%
48427,-97.16%
29186,18.35%
13257,69.01%
40137,24.06%
48429,93.70%
17177,35.74%
48431,95.35%
18151,54.27%
36101,39.68%
53065,95.97%
13259,-15.39%
47161,42.05%
30095,54.19%
29207,66.11%
37169,48.80%
05137,43.51%
29209,65.24%
28131,63.76%
48433,47.80%
32029,71.62%
19169,24.13%
33017,-7.12%
56035,-100.00%
36103,2.33%
18153,15.56%
29211,53.98%
33019,-1.93%
36105,-12.31%
42113,35.18%
47163,64.40%
46119,38.68%
54089,-22.60%
08117,-100.00%
39153,38.52%
49043,-21.69%
47165,59.96%
01119,-85.05%
12119,52.53%
13261,11.34%
45085,-0.37%
28133,-29.35%
37171,33.95%
51181,-11.10%
42115,42.47%
10005,20.97%
34037,29.96%
51183,-9.03%
06101,12.38%
48435,91.88%
12121,29.40%
37173,-6.40%
30097,56.82%
56037,-100.00%
48437,59.96%
18155,19.92%
13263,-17.60%
24041,14.95%
13265,-17.06%
01121,31.20%
28135,-11.88%
01123,48.93%
19171,4.46%
29213,60.52%
35055,-84.04%
48439,33.77%
28137,42.84%
13267,57.96%
12123,6.97%
13269,32.11%
19173,30.80%
21217,10.31%
48441,73.79%
55119,33.94%
54091,1.35%
17179,34.03%
51185,66.93%
06103,19.57%
13271,39.53%
08119,-100.00%
13273,11.14%
48443,-7.82%
48445,77.21%
16081,43.37%
30099,11.99%
56039,-100.00%
29215,59.81%
40139,59.15%
31169,84.37%
13275,42.78%
31171,99.10%
48447,81.54%
31173,73.09%
53067,90.09%
13277,57.63%
41057,-15.18%
40141,8.87%
36107,29.49%
42117,51.29%
28139,67.84%
18157,18.09%
18159,59.84%
47167,60.75%
28141,72.20%
48449,72.88%
21219,-52.17%
46121,-69.15%
09013,-6.67%
48451,69.60%
36109,-53.13%
49045,47.10%
30101,62.51%
13279,66.09%
35057,1.63%
13281,66.91%
37175,19.60%
48453,-27.23%
30103,36.36%
55121,3.34%
13283,37.85%
21221,-17.77%
21223,-64.72%
06105,-10.65%
48455,76.25%
46123,34.49%
13285,38.08%
47169,35.46%
39155,-7.13%
54093,-8.11%
06107,12.51%
40143,25.20%
28143,-62.08%
06109,3.02%
13287,46.69%
46125,16.33%
01125,32.33%
39157,25.46%
26157,29.77%
13289,6.63%
16083,85.63%
48457,75.03%
54095,43.95%
37177,-20.42%
56041,-100.00%
49047,88.69%
36111,-32.96%
41059,25.25%
47171,74.10%
05139,-12.77%
12125,25.12%
13291,70.94%
19175,16.90%
17181,18.21%
18161,55.75%
21225,-76.48%
28145,71.16%
37179,40.62%
34039,-56.68%
35059,5.75%
39159,61.59%
41061,29.37%
42119,33.91%
45087,28.21%
46127,15.88%
47173,64.65%
48459,78.11%
54097,37.17%
13293,43.72%
48461,64.02%
49049,70.29%
48463,-6.92%
48465,-1.58%
35061,-27.36%
16085,68.25%
30105,37.75%
31175,84.86%
05141,44.00%
19177,45.48%
26159,18.30%
47175,44.95%
39161,67.37%
48467,82.50%
37181,-54.23%
18163,21.47%
42121,36.06%
06111,-25.79%
17183,30.29%
18165,1.22%
29217,50.23%
55123,-4.44%
48469,55.91%
18167,-1.20%
55125,26.24%
39163,34.05%
12127,18.36%
17185,52.24%
18169,57.44%
40145,36.54%
53069,94.03%
37183,-9.85%
12129,9.88%
23027,#DIV/0!
01127,71.25%
13295,68.01%
48471,59.75%
53071,94.78%
48473,53.64%
41063,33.79%
28147,22.09%
12131,62.54%
13297,70.33%
46129,62.53%
55127,22.76%
19179,5.63%
48475,51.00%
13299,57.91%
13301,9.30%
19181,26.77%
17187,33.21%
18171,58.40%
21227,-30.74%
29219,44.82%
28149,17.73%
37185,-59.99%
34041,27.74%
36113,25.11%
39165,60.22%
42123,31.58%
47177,40.93%
51187,44.85%
18173,38.60%
49051,53.14%
41065,-9.68%
56043,-100.00%
55129,20.18%
01129,5.75%
05143,23.47%
08121,-100.00%
12133,38.80%
13303,6.09%
19183,26.40%
16087,89.71%
17189,51.83%
18175,43.50%
21229,-34.13%
24043,27.70%
23029,-100.00%
29221,38.71%
28151,-17.17%
37187,-47.92%
31177,84.28%
36115,21.65%
39167,42.86%
40147,43.32%
41067,-31.18%
42125,-1.29%
47179,56.03%
48477,72.29%
49053,70.48%
51191,55.63%
50023,-20.90%
55131,47.90%
40149,12.41%
32031,78.30%
26161,-31.43%
37189,-8.44%
55133,40.54%
55135,24.88%
55137,31.51%
13305,64.63%
19185,35.38%
17191,72.41%
18177,38.86%
21231,31.36%
26163,-34.59%
29223,57.94%
28153,31.68%
37191,1.06%
31179,81.80%
36117,29.99%
39169,51.78%
42127,40.82%
47181,74.10%
49055,39.02%
54099,-20.42%
47183,52.34%
48479,-72.68%
49057,23.05%
13307,31.39%
19187,-0.25%
21233,-77.67%
29225,57.71%
28155,65.73%
31181,90.50%
54101,-44.33%
08123,-100.00%
18179,63.37%
36119,-43.37%
42129,6.12%
51193,26.81%
56045,-100.00%
54103,-32.36%
26165,34.54%
48481,68.70%
53073,92.13%
30107,63.10%
13309,46.44%
31183,90.00%
41069,35.27%
48483,92.74%
32033,64.44%
05145,63.23%
13311,72.68%
17193,42.00%
18181,52.41%
47185,57.47%
17195,5.51%
13313,63.18%
18183,61.84%
21235,54.92%
53075,90.41%
30109,68.39%
48485,62.69%
24045,11.04%
48487,82.73%
01131,-75.59%
13315,51.62%
13317,27.67%
37193,51.95%
13319,12.11%
28157,-35.22%
17197,-3.82%
48489,-78.77%
39171,58.65%
45089,-30.70%
17199,21.53%
47187,60.90%
48491,33.86%
37195,-10.97%
47189,56.86%
48493,64.38%
09015,-53.93%
50025,-66.67%
50027,-49.91%
48495,92.97%
19189,21.34%
17201,7.92%
55139,6.87%
19191,-2.71%
01133,85.95%
28159,19.67%
54105,3.78%
48497,78.46%
51195,54.61%
21237,-81.51%
39173,25.24%
48499,83.62%
55141,16.67%
54107,22.83%
19193,16.81%
17203,56.18%
21239,-34.54%
05147,-60.28%
40151,45.92%
40153,51.49%
25027,-47.58%
24047,22.56%
13321,59.61%
19195,-3.10%
29227,54.85%
19197,5.94%
29229,66.97%
39175,55.00%
36121,46.19%
42131,38.91%
54109,-12.28%
51197,56.89%
37197,64.72%
53077,94.21%
28161,12.22%
41071,-2.35%
37199,4.76%
46135,-11.73%
36123,33.73%
04025,33.04%
28163,5.94%
05149,34.54%
30111,20.43%
48501,97.42%
06113,-56.21%
23031,-100.00%
31185,87.21%
42133,31.74%
45091,46.19%
51199,37.90%
48503,84.96%
06115,6.03%
04027,6.82%
08125,-100.00%
48505,-94.08%
48507,-100.00%
46137,-32.15%
